Requests,Calculations,Minimal portion,Maximal portion,Operations quantum,Number of threads,Solution,Storage size,Time
20000,191133,1,100,900,8,Synchronous,1000,13.2926286
20000,200848,1,100,1000,8,Asynchronous,1000,11.6374503
20000,200848,1,100,1000,8,Synchronous,1000,14.6500972
20000,1631323,1,100,100,10,Asynchronous,1000,11.6393103
20000,1631323,1,100,100,10,Synchronous,1000,16.0755447
20000,1037015,1,100,200,10,Asynchronous,1000,14.8890607
20000,1037015,1,100,200,10,Synchronous,1000,18.2127734
20000,632946,1,100,300,10,Asynchronous,1000,13.6814253
20000,632946,1,100,300,10,Synchronous,1000,17.2993184
20000,454503,1,100,400,10,Asynchronous,1000,12.9516448
20000,454503,1,100,400,10,Synchronous,1000,16.9183935
20000,404584,1,100,500,10,Asynchronous,1000,14.5110087
20000,404584,1,100,500,10,Synchronous,1000,18.2220285
20000,299825,1,100,600,10,Asynchronous,1000,12.8635088
20000,299825,1,100,600,10,Synchronous,1000,16.7072054
20000,288656,1,100,700,10,Asynchronous,1000,14.4457282
20000,288656,1,100,700,10,Synchronous,1000,18.2680676
20000,278652,1,100,800,10,Asynchronous,1000,16.0204306
20000,278652,1,100,800,10,Synchronous,1000,19.2455137
20000,328614,1,100,900,10,Asynchronous,1000,21.3796704
20000,328614,1,100,900,10,Synchronous,1000,23.8465642
20000,252901,1,100,1000,10,Asynchronous,1000,18.0722047
20000,252901,1,100,1000,10,Synchronous,1000,21.1831545
20000,1969202,1,100,100,12,Asynchronous,1000,16.7857411
20000,1969202,1,100,100,12,Synchronous,1000,21.405495
20000,1115642,1,100,200,12,Asynchronous,1000,19.0354581
20000,1115642,1,100,200,12,Synchronous,1000,23.1178677
20000,736960,1,100,300,12,Asynchronous,1000,19.1384662
20000,736960,1,100,300,12,Synchronous,1000,23.0773007
20000,725100,1,100,400,12,Asynchronous,1000,24.7729302
20000,725100,1,100,400,12,Synchronous,1000,28.2212285
20000,495511,1,100,500,12,Asynchronous,1000,21.0854657
20000,495511,1,100,500,12,Synchronous,1000,24.9419443
20000,322640,1,100,600,12,Asynchronous,1000,16.4537043
20000,322640,1,100,600,12,Synchronous,1000,21.5770553
20000,453283,1,100,700,12,Asynchronous,1000,27.0097919
20000,453283,1,100,700,12,Synchronous,1000,30.1208069
20000,337961,1,100,800,12,Asynchronous,1000,23.0526961
20000,337961,1,100,800,12,Synchronous,1000,26.4850682
20000,270330,1,100,900,12,Asynchronous,1000,20.7726433
20000,270330,1,100,900,12,Synchronous,1000,24.8732688
20000,278329,1,100,1000,12,Asynchronous,1000,23.7223419
20000,278329,1,100,1000,12,Synchronous,1000,27.2153738
20000,2241096,1,100,100,14,Asynchronous,1000,22.1689179
20000,2241096,1,100,100,14,Synchronous,1000,27.1436817
20000,1500356,1,100,200,14,Asynchronous,1000,30.0081108
20000,1500356,1,100,200,14,Synchronous,1000,33.7454527
20000,688638,1,100,300,14,Asynchronous,1000,20.4623649
20000,688638,1,100,300,14,Synchronous,1000,25.8775193
20000,841349,1,100,400,14,Asynchronous,1000,33.2077377
20000,841349,1,100,400,14,Synchronous,1000,36.8642885
20000,512257,1,100,500,14,Asynchronous,1000,25.2630799
20000,512257,1,100,500,14,Synchronous,1000,29.8450551
20000,562326,1,100,600,14,Asynchronous,1000,33.5769995
20000,562326,1,100,600,14,Synchronous,1000,37.1509757
20000,450713,1,100,700,14,Asynchronous,1000,31.116884
20000,450713,1,100,700,14,Synchronous,1000,35.0275782
20000,249949,1,100,800,14,Asynchronous,1000,20.1399816
20000,249949,1,100,800,14,Synchronous,1000,25.5651632
20000,360916,1,100,900,14,Asynchronous,1000,32.0875339
20000,360916,1,100,900,14,Synchronous,1000,36.2482237
20000,354138,1,100,1000,14,Asynchronous,1000,35.5071933
20000,354138,1,100,1000,14,Synchronous,1000,38.7178984
20000,3107809,1,100,100,16,Asynchronous,1000,35.611272
20000,3107809,1,100,100,16,Synchronous,1000,39.5074656
20000,1550694,1,100,200,16,Asynchronous,1000,35.0409821
20000,1550694,1,100,200,16,Synchronous,1000,39.3850851
20000,1167726,1,100,300,16,Asynchronous,1000,39.3843196
20000,1167726,1,100,300,16,Synchronous,1000,43.5487846
20000,793173,1,100,400,16,Asynchronous,1000,35.6061553
20000,793173,1,100,400,16,Synchronous,1000,40.2244471
20000,644569,1,100,500,16,Asynchronous,1000,36.341587
20000,644569,1,100,500,16,Synchronous,1000,41.099579
20000,577746,1,100,600,16,Asynchronous,1000,39.0149747
20000,577746,1,100,600,16,Synchronous,1000,43.0352379
20000,479174,1,100,700,16,Asynchronous,1000,37.6282505
20000,479174,1,100,700,16,Synchronous,1000,41.8387132
20000,385617,1,100,800,16,Asynchronous,1000,34.8050717
20000,385617,1,100,800,16,Synchronous,1000,39.6547898
20000,437548,1,100,900,16,Asynchronous,1000,44.3275842
20000,437548,1,100,900,16,Synchronous,1000,47.9632622
20000,412552,1,100,1000,16,Asynchronous,1000,46.4002865
20000,412552,1,100,1000,16,Synchronous,1000,49.9959452
20000,2876096,1,100,100,18,Asynchronous,1000,36.4455663
20000,2876096,1,100,100,18,Synchronous,1000,41.9144198
20000,1576775,1,100,200,18,Asynchronous,1000,41.2519402
20000,1576775,1,100,200,18,Synchronous,1000,45.3007198
20000,1078878,1,100,300,18,Asynchronous,1000,41.0322535
20000,1078878,1,100,300,18,Synchronous,1000,45.8096223
20000,750643,1,100,400,18,Asynchronous,1000,37.9753622
20000,750643,1,100,400,18,Synchronous,1000,43.5332338
20000,604033,1,100,500,18,Asynchronous,1000,38.0547835
20000,604033,1,100,500,18,Synchronous,1000,43.9976652
20000,590410,1,100,600,18,Asynchronous,1000,45.7642633
20000,590410,1,100,600,18,Synchronous,1000,49.9829227
20000,433960,1,100,700,18,Asynchronous,1000,38.2321477
20000,433960,1,100,700,18,Synchronous,1000,43.8292531
20000,378688,1,100,800,18,Asynchronous,1000,38.1392811
20000,378688,1,100,800,18,Synchronous,1000,43.5839741
20000,398538,1,100,900,18,Asynchronous,1000,45.394119
20000,398538,1,100,900,18,Synchronous,1000,49.7963312
20000,387371,1,100,1000,18,Asynchronous,1000,48.8539988
20000,387371,1,100,1000,18,Synchronous,1000,54.1794299
20000,3717244,1,100,100,20,Asynchronous,1000,51.9028546
20000,3717244,1,100,100,20,Synchronous,1000,56.9996307
20000,873972,1,100,200,20,Asynchronous,1000,24.4907112
20000,873972,1,100,200,20,Synchronous,1000,34.0483299
20000,870304,1,100,300,20,Asynchronous,1000,36.4717198
20000,870304,1,100,300,20,Synchronous,1000,43.6943506
20000,774089,1,100,400,20,Asynchronous,1000,43.3776066
20000,774089,1,100,400,20,Synchronous,1000,49.5948233
20000,858120,1,100,500,20,Asynchronous,1000,59.9193201
20000,858120,1,100,500,20,Synchronous,1000,64.6938245
20000,362719,1,100,600,20,Asynchronous,1000,30.4960999
20000,362719,1,100,600,20,Synchronous,1000,39.3096374
20000,458927,1,100,700,20,Asynchronous,1000,44.9141503
20000,458927,1,100,700,20,Synchronous,1000,50.8717621
20000,458274,1,100,800,20,Asynchronous,1000,51.3302204
20000,458274,1,100,800,20,Synchronous,1000,56.5142783
20000,449628,1,100,900,20,Asynchronous,1000,56.4843251
20000,449628,1,100,900,20,Synchronous,1000,62.0168636
20000,424174,1,100,1000,20,Asynchronous,1000,59.3361901
20000,424174,1,100,1000,20,Synchronous,1000,64.603037
